OBJECTID,Join_Count,TARGET_FID,site_name,avulsion_year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur,av_type,site_area,site_lat,site_lon,country,continent,identity,climate
227,1,227,R6,2006,1.730047467,1.560250152,1.182383788,1.172681386,1.696147712,1.056185935,retrogradational,Pacific Islands,-9.433,149.0289,Papua New Guinea,Oceania,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
228,1,228,R7,2006,1.643933009,1.491932277,1.166092577,1.158315654,1.690725496,1.057857048,retrogradational,Pacific Islands,-9.4194,149.053,Papua New Guinea,Oceania,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
229,1,229,RUS.002.1988,1988,0.726775632,0.62549181,0.876013384,0.783058694,0.914636478,0.906249103,delta,Asia,50.461424,93.107421,Mongolia,Asia,442899fb-0349-1824-cc1a-5ccb5f8fe7d1,Dwb Cold-Dry_Winter-Warm_Summer
230,1,230,RUS.002.1996,1996,0.981438856,0.745957824,1.056905894,0.88122999,1.228557756,1.009968425,delta,Asia,50.481243,93.077127,Mongolia,Asia,442899fb-0349-1824-cc1a-5ccb5f8fe7d1,Dwb Cold-Dry_Winter-Warm_Summer
231,1,231,SA0210.1996,1996,-0.612381985,-0.778518335,-0.624368344,-0.677471693,-0.609474117,-0.74346885,delta,South America,11.431154,-69.95073,Venezuela,South America,bd32fc29-24c3-a0be-0fa0-9499130be644,BSh Arid-Steppe-Hot
232,1,232,SA0505.1999,1999,3.227452807,2.379458436,2.664535163,2.396091032,2.334998233,1.443594588,delta,South America,-3.543468,-80.47866,Peru,South America,9bd355d6-0aa4-7d32-20be-e372c6eca767,BWh Arid-Desert-Hot
233,1,233,SAMBAO.2004,2004,2.23545802,0.852785316,2.128328992,0.95787308,1.249250566,0.810255068,delta,Pacific Islands,-16.59976,44.621719,Madagascar,Africa,cef3b643-c515-7d48-b37f-7c199562ab9a,Aw Tropical-Savanna
234,1,234,SUMA2.2005,2005,0.783529783,0.821836118,-0.209554961,-0.149437842,0.274664419,0.437990701,delta,Pacific Islands,5.2637288,96.854628,Indonesia,Asia,737027e4-9fc4-2449-3574-3381dafc07dc,Af Tropical-Rainforest
235,1,235,Sulengguole.1990,1990,4.165347591,2.181251222,4.021859339,2.531123691,2.896977718,1.323251597,delta,Asia,36.8447,96.00454,China,Asia,ca1e07ff-a1e1-7ca9-58bd-066867896319,BWk Arid-Desert-Cold
236,1,236,Sulengguole.1997,1997,-0.181272566,0.129003855,-0.027366582,0.241368413,0.391182965,0.566059874,delta,Asia,36.8447,96.00454,China,Asia,ca1e07ff-a1e1-7ca9-58bd-066867896319,BWk Arid-Desert-Cold
237,1,237,Sulengguole.2003,2003,0.563292093,0.780337591,0.357471998,0.63075066,0.316383121,0.528898839,delta,Asia,36.8447,96.00454,China,Asia,ca1e07ff-a1e1-7ca9-58bd-066867896319,BWk Arid-Desert-Cold
238,1,238,Sulengguole.2007,2007,-0.142717588,0.171864095,-0.068477233,0.194417912,-0.244615704,0.182400865,delta,Asia,36.8447,96.00454,China,Asia,ca1e07ff-a1e1-7ca9-58bd-066867896319,BWk Arid-Desert-Cold
239,1,239,Sulengguole.2008,2008,-0.262067924,0.034420677,-0.068477233,0.194417912,-0.244615704,0.182400865,delta,Asia,36.8447,96.00454,China,Asia,ca1e07ff-a1e1-7ca9-58bd-066867896319,BWk Arid-Desert-Cold
240,1,240,TKMN.001.2008,2008,-0.765284045,-0.765284045,-0.965773624,-0.965773624,-0.92734888,-0.713018589,fan,Central Asia,42.070578,57.652256,Turkmenistan,Asia,f95062fb-14d1-f9d1-e2cf-2854f21c99bf,BWk Arid-Desert-Cold
241,1,241,TURK.001.1993,1993,1.716380528,1.716380528,1.908060899,1.908060899,1.877577746,0.971117972,delta,Central Asia,38.681588,43.640581,Turkey,Asia,807e306f-7a76-bcf0-b143-fad2019121dd,BSk Arid-Steppe-Cold
242,1,242,TURK.002.1991,1991,-0.1965974,-0.057305375,-0.239038544,-0.111987583,-0.18353552,0.167859457,delta,Central Asia,40.143437,28.556474,Turkey,Asia,2db513eb-3b8c-a1c8-bf59-59f7f4da75ae,Csa Temperate-Dry_Summer-Hot_Summer
243,1,243,UZB.001.1994,1994,2.101712717,1.479610255,2.156307489,1.561610078,1.444938434,1.066237938,delta,Central Asia,39.300571,64.547069,Uzbekistan,Asia,2a7bd039-a19f-e59e-e9e0-5e12d1b43f8c,BSk Arid-Steppe-Cold
244,1,244,V1,1998,1.018352986,0.854425807,0.55931741,0.53645513,0.790748702,0.742294033,fan,South America,1.1092,-76.2348,Colombia,South America,0c9725a8-4dc5-185c-a14d-a5b2fcfe0703,BSh Arid-Steppe-Hot
245,1,245,V10,1997,0.902384815,0.739760542,0.12810182,0.210013452,0.428771974,0.740480091,fan,South America,7.0725,-72.0089,Venezuela,South America,7669d730-1a70-5abd-37c2-bdf0cd794339,BWk Arid-Desert-Cold
246,1,246,V11,2017,0.046568238,0.217349449,-0.038279206,0.104908726,-0.163862107,0.445289145,intra-lobe,South America,7.1703,-71.345,Venezuela,South America,8d027208-7c46-c50b-2f7e-655170bb3451,Cwb Temperate-Dry_Winter-Warm_Summer
247,1,247,V12.1,1997,-0.277521276,-0.092248281,-0.352683801,-0.199194412,-0.50457228,0.082785857,fan,South America,7.4959,-72.035,Venezuela,South America,7669d730-1a70-5abd-37c2-bdf0cd794339,BWk Arid-Desert-Cold
248,1,248,V12.2,2011,3.935203237,2.352573467,3.147280402,2.168057763,3.114961527,1.364621863,fan,South America,7.4959,-72.035,Venezuela,South America,7669d730-1a70-5abd-37c2-bdf0cd794339,BWk Arid-Desert-Cold
249,1,249,V12.3,2016,0.244464286,0.376826289,0.047378672,0.174544585,0.175791217,0.607613025,fan,South America,7.4959,-72.035,Venezuela,South America,7669d730-1a70-5abd-37c2-bdf0cd794339,BWk Arid-Desert-Cold
250,1,250,V13,2000,0.248272543,0.374622427,0.046111484,0.171530984,-0.23634938,0.3333082,fan,South America,7.5596,-72.0799,Venezuela,South America,ceebcc03-341d-7c91-5d26-f28c3d930f14,BWh Arid-Desert-Hot
