site_name,avulsion_year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur,av_type,site_area
R2.1,1988,-0.380998107,-0.337108041,-0.123626369,-0.022475931,-0.273598237,0.029657051324179402,retrogradational,Pacific Islands
R2.2,2002,-0.800793605,-0.798826904,-0.892124077,-0.894936201,-0.718028544,-0.42531709,retrogradational,Pacific Islands
R2.3,2014,1.1356958129733166,1.1417536589297834,0.8860863049677218,0.9207992216557044,1.3065984104153372,0.9704610261137798,retrogradational,Pacific Islands
R20.1,1984,1.1870606076231773,1.1879901317966448,1.1999563204123191,1.182686110358816,0.5306639155300379,0.7631999302322944,retrogradational,South America
R20.2,1990,-0.256212823,-0.144351239,0.35007004574225625,0.4702200210108174,-0.298160511,0.3554575552585482,retrogradational,South America
R20.3,1996,-0.201496059,-0.083048273,-0.221331634,-0.097311033,-0.012456594,0.5300255065479301,retrogradational,South America
R20.4,2015,1.8796981631372598,1.6933339572520234,1.538674108510127,1.4321892682431936,2.1311524642610986,1.1453428487636848,retrogradational,South America
R21.1,1984,1.1870606076231773,1.1879901317966448,1.1999563204123191,1.182686110358816,0.5306639155300379,0.7631999302322944,retrogradational,South America
R21.2,2012,1.4559085000982483,1.381175255429542,0.32419415033351234,0.4272870627808382,1.4562797352340016,1.008070780312284,retrogradational,South America
R22.1,1984,1.6707758747143184,1.5466648074795004,1.5038641771484342,1.4413128174661058,0.6326248520352291,0.7930950415630309,retrogradational,South America
R22.2,2004,1.1736345083657753,1.166571565803198,-0.159067588,-0.059488828,0.39767258578375125,0.7119585978208786,retrogradational,South America
R23.1,1984,1.8099457094716225,1.6483389730611877,1.5853458880213975,1.5072548367492327,0.7578093754673598,0.8263313377415837,retrogradational,South America
R23.2,1984,1.8884146235858494,1.6921941956331898,1.3892547372381774,1.411572321017074,0.6894599401771754,0.774535773,retrogradational,South America
R23.3,2014,1.9435408879458083,1.743975168402925,0.916348001,0.9631601266193326,1.2638200943303846,0.9536069395375896,retrogradational,South America
R23.4,2016,0.6812594118165398,0.7271991924632913,0.8400188499702811,0.9285263427188111,0.9126725958095359,0.8356422500871451,retrogradational,South America
R24.1,1984,1.8884146235858494,1.6921941956331898,1.3892547372381774,1.411572321017074,0.6894599401771754,0.774535773,retrogradational,South America
R24.2,2003,-0.827827834,-0.80009958,-0.802001069,-0.845338799,-1.128128827,-1.403014633,retrogradational,South America
